t_index,t_rad,X_cm,Y_cm
1,2.6179938779914944,3.3646749448547674e-15,-2.132970391691943e-15
2,2.623238606962429,-0.17343061124159803,0.10861532930895643
3,2.6284833359333635,-0.3478510132530216,0.21520356490973108
4,2.633728064904298,-0.5232032934863923,0.31973018504089873
5,2.6389727938752325,-0.699429009898929,0.4221617916695005
6,2.644217522846167,-0.8764692146123652,0.5224661238026855
7,2.6494622518171016,-1.0542644778083488,0.6206120702752852
8,2.654706980788036,-1.2327549118495318,0.7165696820078462
9,2.6599517097589707,-1.411880195615953,0.8103101837298852
10,2.665196438729905,-1.5915795990462311,0.9018059851633653
11,2.6704411677008397,-1.7717920078729845,0.991030691661637
12,2.6756858966717743,-1.9524559485418147,1.0779591142993257
13,2.680930625642709,-2.133509613303096,1.162567279408892
14,2.6861753546136433,-2.3148908854657595,1.244832437559842
15,2.691420083584578,-2.4965373648021547,1.324733071976805
16,2.6966648125555124,-2.678386393093028,1.4022489063929493
17,2.7019095415264474,-2.8603750798016145,1.4773609123354694
18,2.707154270497382,-3.042440327865619,1.5500513158400646
19,2.7123989994683164,-3.22451885959625,1.6203036035917664
20,2.717643728439251,-3.4065472426727172,1.6881025284894227
21,2.7228884574101855,-3.5884619162212528,1.7534341146317105
22,2.72813318638112,-3.770199216967256,1.8162856617226169
23,2.7333779153520545,-3.9516954054492834,1.8766457488946529
24,2.738622644322989,-4.132886692283536,1.9345042379483137
25,2.7438673732939236,-4.313709264467493,1.9898522760065438
26,2.749112102264858,-4.494099311711286,2.042682297583261
27,2.7543568312357927,-4.673993052785464,2.0929880260652043
28,2.759601560206727,-4.853326761873681,2.140764474606677
29,2.7648462891776617,-5.03203679491896,2.1860079464369826
30,2.7700910181485963,-5.210059615952086,2.2287160345806334
31,2.775335747119531,-5.387331823390734,2.268887620990668
32,2.7805804760904653,-5.563790176297952,2.3065228750956597
33,2.7858252050614,-5.739371620588611,2.3416232517612765
34,2.7910699340323344,-5.914013315172475,2.3741914886675093
35,2.796314663003269,-6.087652658022557,2.404231603102932
36,2.8015593919742035,-6.26022731215746,2.431748888177632
37,2.806804120945138,-6.431675231526469,2.4567499084566964
38,2.8120488499160725,-6.601934686786113,2.479242495016397
39,2.817293578887007,-6.770944290957095,2.499235739925483
40,2.8225383078579416,-6.938643024950402,2.5167399901542358
41,2.827783036828876,-7.104970262951564,2.5317668409141896
42,2.8330277657998106,-7.269865797652031,2.5443291284316865
43,2.838272494770745,-7.433269865316732,2.554440922158688
44,2.8435172237416797,-7.59512317067695,2.5621175164244896
45,2.8487619527126142,-7.755366911637683,2.567375421532259
46,2.8540066816835488,-7.913942803788811,2.570232354304562
47,2.8592514106544833,-8.0707931047094,2.5707072280822594
48,2.864496139625418,-8.225860638054593,2.5688201421814374
49,2.8697408685963524,-8.379088817414683,2.564592370813252
50,2.874985597567287,-8.53042166993593,2.5580463514717913
51,2.8802303265382214,-8.679803859692942,2.549205672795344
52,2.8854750555091564,-8.827180710802459,2.5380950619066414
53,2.890719784480091,-8.972498230268366,2.5247403712379035
54,2.8959645134510255,-9.115703130548367,2.509168564846742
55,2.90120924242196,-9.256742851832058,2.4914077042291924
56,2.9064539713928945,-9.395565584021089,2.4714869336363785
