t_index,X_cm,Y_cm
246,4.3074,5.8983
247,4.3594,6.0245
248,4.4094,6.1497
249,4.4573,6.274
250,4.5031,6.3973
251,4.5469,6.5196
252,4.5886,6.6407
253,4.6283,6.7606
254,4.6659,6.8794
255,4.7015,6.9968
256,4.735,7.113
257,4.7664,7.2278
258,4.7958,7.3411
259,4.8232,7.4531
260,4.8485,7.5635
261,4.8717,7.6723
262,4.8929,7.7796
263,4.9121,7.8852
264,4.9293,7.9891
265,4.9444,8.0912
266,4.9576,8.1916
267,4.9687,8.2902
268,4.9779,8.3869
269,4.9851,8.4817
270,4.9904,8.5745
271,4.9937,8.6653
272,4.9951,8.7541
273,4.9945,8.8408
274,4.9921,8.9254
275,4.9878,9.0078
276,4.9816,9.0881
277,4.9736,9.1661
278,4.9638,9.2418
279,4.9521,9.3153
280,4.9387,9.3864
281,4.9236,9.4551
282,4.9066,9.5215
283,4.888,9.5854
284,4.8677,9.6468
285,4.8457,9.7057
286,4.8221,9.7621
287,4.7968,9.816
288,4.77,9.8673
289,4.7416,9.916
290,4.7117,9.962
291,4.6803,10.0054
292,4.6474,10.0461
293,4.613,10.084
294,4.5773,10.1193
295,4.5401,10.1518
296,4.5016,10.1816
297,4.4618,10.2085
298,4.4207,10.2327
299,4.3783,10.254
300,4.3347,10.2725
301,4.2899,10.2882
302,4.244,10.301
303,4.1969,10.3109
304,4.1488,10.3179
305,4.0996,10.3221
306,4.0494,10.3233
307,3.9982,10.3216
308,3.9461,10.317
309,3.893,10.3095
310,3.8391,10.299
311,3.7844,10.2857
312,3.7289,10.2693
313,3.6726,10.2501
314,3.6156,10.2279
315,3.5579,10.2028
316,3.4996,10.1747
317,3.4407,10.1437
318,3.3813,10.1098
319,3.3213,10.073
320,3.2608,10.0332
321,3.1999,9.9906
322,3.1386,9.945
323,3.0769,9.8966
324,3.0149,9.8453
325,2.9526,9.7911
326,2.8901,9.7341
327,2.8273,9.6742
328,2.7644,9.6116
329,2.7014,9.5461
330,2.6382,9.4778
331,2.5751,9.4068
332,2.5119,9.3331
333,2.4487,9.2566
334,2.3857,9.1774
335,2.3227,9.0955
336,2.2599,9.011
337,2.1972,8.9238
338,2.1348,8.834
339,2.0727,8.7417
340,2.0108,8.6468
341,1.9493,8.5494
342,1.8882,8.4495
343,1.8274,8.3471
344,1.7672,8.2424
345,1.7074,8.1352
346,1.6481,8.0256
347,1.5894,7.9138
348,1.5312,7.7996
349,1.4737,7.6832
350,1.4169,7.5646
351,1.3608,7.4438
352,1.3053,7.3209
353,1.2507,7.1958
354,1.1968,7.0687
355,1.1438,6.9396
356,1.0916,6.8085
357,1.0403,6.6755
358,0.9899,6.5406
359,0.9404,6.4038
360,0.892,6.2653
361,0.8445,6.125
362,0.7981,5.983
363,0.7527,5.8393
364,0.7085,5.6941
365,0.6653,5.5472
366,0.6233,5.3989
367,0.5824,5.2491
368,0.5428,5.0978
369,0.5043,4.9452
370,0.4671,4.7913
371,0.4311,4.6362
372,0.3964,4.4798
373,0.3631,4.3223
374,0.331,4.1636
375,0.3002,4.004
376,0.2709,3.8433
377,0.2429,3.6817
378,0.2163,3.5191
379,0.1911,3.3558
380,0.1673,3.1917
381,0.1449,3.0268
382,0.124,2.8613
383,0.1046,2.6952
384,0.0866,2.5285
385,0.0702,2.3614
386,0.0552,2.1937
387,0.0417,2.0257
388,0.0298,1.8574
389,0.0194,1.6888
390,0.0105,1.5199
391,0.0031,1.3509
392,-0.0027,1.1818
393,-0.007,1.0127
394,-0.0097,0.8436
395,-0.0109,0.6745
396,-0.0105,0.5056
397,-0.0086,0.3368
398,-0.0051,0.1682
399,-0.0,0.0
400,-0.0,-0.0
401,-0.0051,-0.1682
402,-0.0086,-0.3368
403,-0.0105,-0.5056
404,-0.0109,-0.6745
405,-0.0097,-0.8436
406,-0.007,-1.0127
407,-0.0027,-1.1818
408,0.0031,-1.3509
409,0.0105,-1.5199
410,0.0194,-1.6888
411,0.0298,-1.8574
412,0.0417,-2.0257
413,0.0552,-2.1937
414,0.0702,-2.3614
415,0.0866,-2.5285
416,0.1046,-2.6952
417,0.124,-2.8613
418,0.1449,-3.0268
419,0.1673,-3.1917
420,0.1911,-3.3558
421,0.2163,-3.5191
422,0.2429,-3.6817
423,0.2709,-3.8433
424,0.3002,-4.004
425,0.331,-4.1636
426,0.3631,-4.3223
427,0.3964,-4.4798
428,0.4311,-4.6362
429,0.4671,-4.7913
430,0.5043,-4.9452
431,0.5428,-5.0978
432,0.5824,-5.2491
433,0.6233,-5.3989
434,0.6653,-5.5472
435,0.7085,-5.6941
436,0.7527,-5.8393
437,0.7981,-5.983
438,0.8445,-6.125
439,0.892,-6.2653
440,0.9404,-6.4038
441,0.9899,-6.5406
442,1.0403,-6.6755
443,1.0916,-6.8085
444,1.1438,-6.9396
445,1.1968,-7.0687
446,1.2507,-7.1958
447,1.3053,-7.3209
448,1.3608,-7.4438
449,1.4169,-7.5646
450,1.4737,-7.6832
451,1.5312,-7.7996
452,1.5894,-7.9138
453,1.6481,-8.0256
454,1.7074,-8.1352
455,1.7672,-8.2424
456,1.8274,-8.3471
457,1.8882,-8.4495
458,1.9493,-8.5494
459,2.0108,-8.6468
460,2.0727,-8.7417
461,2.1348,-8.834
462,2.1972,-8.9238
463,2.2599,-9.011
464,2.3227,-9.0955
465,2.3857,-9.1774
466,2.4487,-9.2566
467,2.5119,-9.3331
468,2.5751,-9.4068
469,2.6382,-9.4778
470,2.7014,-9.5461
471,2.7644,-9.6116
472,2.8273,-9.6742
473,2.8901,-9.7341
474,2.9526,-9.7911
475,3.0149,-9.8453
476,3.0769,-9.8966
477,3.1386,-9.945
478,3.1999,-9.9906
479,3.2608,-10.0332
480,3.3213,-10.073
481,3.3813,-10.1098
482,3.4407,-10.1437
483,3.4996,-10.1747
484,3.5579,-10.2028
485,3.6156,-10.2279
486,3.6726,-10.2501
487,3.7289,-10.2693
488,3.7844,-10.2857
489,3.8391,-10.299
490,3.893,-10.3095
491,3.9461,-10.317
492,3.9982,-10.3216
493,4.0494,-10.3233
494,4.0996,-10.3221
495,4.1488,-10.3179
496,4.1969,-10.3109
497,4.244,-10.301
498,4.2899,-10.2882
499,4.3347,-10.2725
500,4.3783,-10.254
501,4.4207,-10.2327
502,4.4618,-10.2085
503,4.5016,-10.1816
504,4.5401,-10.1518
505,4.5773,-10.1193
506,4.613,-10.084
507,4.6474,-10.0461
508,4.6803,-10.0054
509,4.7117,-9.962
510,4.7416,-9.916
511,4.77,-9.8673
512,4.7968,-9.816
513,4.8221,-9.7621
514,4.8457,-9.7057
515,4.8677,-9.6468
516,4.888,-9.5854
517,4.9066,-9.5215
518,4.9236,-9.4551
519,4.9387,-9.3864
520,4.9521,-9.3153
521,4.9638,-9.2418
522,4.9736,-9.1661
523,4.9816,-9.0881
524,4.9878,-9.0078
525,4.9921,-8.9254
526,4.9945,-8.8408
527,4.9951,-8.7541
528,4.9937,-8.6653
529,4.9904,-8.5745
530,4.9851,-8.4817
531,4.9779,-8.3869
532,4.9687,-8.2902
533,4.9576,-8.1916
534,4.9444,-8.0912
535,4.9293,-7.9891
536,4.9121,-7.8852
537,4.8929,-7.7796
538,4.8717,-7.6723
539,4.8485,-7.5635
540,4.8232,-7.4531
541,4.7958,-7.3411
542,4.7664,-7.2278
