Default 0,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
0.0178593641440834,-0.4140825212738797,-12.771075549643262,-0.14532503162132748,-12.761840894903418,0.1038006360328243
-0.057194120019641304,-0.24841392318244182,-12.706350662503011,-0.36365557025279394,-12.696846446859473,0.33994706767854943
0.0446648433346617,0.5006898665012702,-12.637716082263614,-0.5637569756203984,-12.618027428996763,0.5383955120477761
0.02408666380237534,0.21995606788044952,-12.565050277076324,-0.7494426985908476,-12.552631953760702,0.7295162173431855
0.028377096583113826,-0.6975536919261209,-12.454468660438717,-0.9486640768353709,-12.44538451560128,0.9284066610183164
0.03481920770201796,-0.8843801907968576,-12.332752444492444,-1.1451152443866857,-12.30828716438526,1.1121359464723604
0.0279298150380054,-1.0825729659105061,-12.19327217925786,-1.3238070675894757,-12.131796028527804,1.2868949346264156
0.06770738761624173,0.8176760773520009,-12.046241226890826,-1.467414456637707,-11.925314740284797,1.4570786413517887
0.04763550434904573,-1.2727654944506792,-11.814807317971386,-1.6095225402169842,-11.697684138476786,1.6165102218169398
0.04792448866558807,-1.4740961440537053,-11.581784972117008,-1.7591271511410387,-11.463327888805596,1.7562145276063106
0.08403400322671395,1.077493608928794,-11.34865104495476,-1.884531016180322,-11.229041800108291,1.8807016977257138
0.061598270757340146,-1.6765023823627203,-11.11544442087981,-1.9941677285977057,-10.994842778643646,1.9863049524956295
0.10009140679279405,1.4297838318517346,-10.882158337388647,-2.0865705765213853,-10.760730824411656,2.0730242919160684
0.022684571408529308,1.2358984910836757,-10.648813081991797,-2.166139695566777,-10.523586241842715,2.153208483681901
0.07410123807519575,-1.8688371991520114,-10.415440776580919,-2.2398419671249528,-10.285812737044782,2.2235519197939375
0.0805494696013156,-2.0543362497024127,-10.182010989890227,-2.3010771877727905,-10.061901115743163,2.282827309923416
0.12332356056031202,1.8508971559394247,-9.94856767819252,-2.359378984677015,-9.823955080599909,2.33773029981214
0.10250014613729697,1.6504890468470705,-9.7150888633514,-2.409980544254271,-9.579052526941226,2.395361387076065
0.0816555341360008,-2.267028519320185,-9.48158299849625,-2.4547152563443078,-9.348498969883224,2.430510022532692
0.061293958099513546,0.1055525418797032,-9.248063608634087,-2.496516544690735,-9.133398231637026,2.4692118650270825
0.12984049698372502,-2.4520018393814667,-9.014495190621496,-2.5276841719665804,-8.88566688106423,2.4705860074259114
0.15835541955044263,2.1485192113175664,-8.78090817572426,-2.554818341594963,-8.655432459085214,2.4827869211014466
0.18239630736619716,2.4125680902388087,-8.547273823302472,-2.571685528120714,-8.421694133172002,2.488470429604689
0.1449830948372579,-2.6526480234443213,-8.313597205233766,-2.579385765447686,-8.187987083837509,2.487370395700836
0.17245312181154837,-2.8580943554512572,-8.07989184652515,-2.580852477319489,-7.954321454837002,2.477286751582179
0.20689903123496656,2.720210905349795,-7.846140840917863,-2.5724188840566136,-7.735507911548617,2.4727168576482708
